Target_Y | Src_Y_Float | Pre_Idx | Pre_Weight | Post_Idx | Post_Weight
     156 |    350.3750 |     350 |        160 |      351 |          96
     157 |    352.6250 |     352 |         96 |      353 |         160
     158 |    354.8750 |     354 |         32 |      355 |         224
     159 |    357.1250 |     357 |        224 |      358 |          32
     160 |    359.3750 |     359 |        160 |      360 |          96
     161 |    361.6250 |     361 |         96 |      362 |         160
     162 |    363.8750 |     363 |         32 |      364 |         224
     163 |    366.1250 |     366 |        224 |      367 |          32
     164 |    368.3750 |     368 |        160 |      369 |          96
     165 |    370.6250 |     370 |         96 |      371 |         160
     166 |    372.8750 |     372 |         32 |      373 |         224
     167 |    375.1250 |     375 |        224 |      376 |          32
     168 |    377.3750 |     377 |        160 |      378 |          96
     169 |    379.6250 |     379 |         96 |      380 |         160
     170 |    381.8750 |     381 |         32 |      382 |         224
     171 |    384.1250 |     384 |        224 |      385 |          32
     172 |    386.3750 |     386 |        160 |      387 |          96
     173 |    388.6250 |     388 |         96 |      389 |         160
     174 |    390.8750 |     390 |         32 |      391 |         224
     175 |    393.1250 |     393 |        224 |      394 |          32
     176 |    395.3750 |     395 |        160 |      396 |          96
     177 |    397.6250 |     397 |         96 |      398 |         160
     178 |    399.8750 |     399 |         32 |      400 |         224
     179 |    402.1250 |     402 |        224 |      403 |          32
     180 |    404.3750 |     404 |        160 |      405 |          96
     181 |    406.6250 |     406 |         96 |      407 |         160
     182 |    408.8750 |     408 |         32 |      409 |         224
     183 |    411.1250 |     411 |        224 |      412 |          32
     184 |    413.3750 |     413 |        160 |      414 |          96
     185 |    415.6250 |     415 |         96 |      416 |         160
     186 |    417.8750 |     417 |         32 |      418 |         224
     187 |    420.1250 |     420 |        224 |      421 |          32
     188 |    422.3750 |     422 |        160 |      423 |          96
     189 |    424.6250 |     424 |         96 |      425 |         160
     190 |    426.8750 |     426 |         32 |      427 |         224
     191 |    429.1250 |     429 |        224 |      430 |          32
     192 |    431.3750 |     431 |        160 |      432 |          96
     193 |    433.6250 |     433 |         96 |      434 |         160
     194 |    435.8750 |     435 |         32 |      436 |         224
     195 |    438.1250 |     438 |        224 |      439 |          32
     196 |    440.3750 |     440 |        160 |      441 |          96
     197 |    442.6250 |     442 |         96 |      443 |         160
     198 |    444.8750 |     444 |         32 |      445 |         224
     199 |    447.1250 |     447 |        224 |      448 |          32
     200 |    449.3750 |     449 |        160 |      450 |          96
     201 |    451.6250 |     451 |         96 |      452 |         160
     202 |    453.8750 |     453 |         32 |      454 |         224
     203 |    456.1250 |     456 |        224 |      457 |          32
     204 |    458.3750 |     458 |        160 |      459 |          96
     205 |    460.6250 |     460 |         96 |      461 |         160
     206 |    462.8750 |     462 |         32 |      463 |         224
     207 |    465.1250 |     465 |        224 |      466 |          32
     208 |    467.3750 |     467 |        160 |      468 |          96
     209 |    469.6250 |     469 |         96 |      470 |         160
     210 |    471.8750 |     471 |         32 |      472 |         224
     211 |    474.1250 |     474 |        224 |      475 |          32
     212 |    476.3750 |     476 |        160 |      477 |          96
     213 |    478.6250 |     478 |         96 |      479 |         160
     214 |    480.8750 |     480 |         32 |      481 |         224
     215 |    483.1250 |     483 |        224 |      484 |          32
     216 |    485.3750 |     485 |        160 |      486 |          96
     217 |    487.6250 |     487 |         96 |      488 |         160
     218 |    489.8750 |     489 |         32 |      490 |         224
     219 |    492.1250 |     492 |        224 |      493 |          32
     220 |    494.3750 |     494 |        160 |      495 |          96
     221 |    496.6250 |     496 |         96 |      497 |         160
     222 |    498.8750 |     498 |         32 |      499 |         224
     223 |    501.1250 |     501 |        224 |      502 |          32
     224 |    503.3750 |     503 |        160 |      504 |          96
     225 |    505.6250 |     505 |         96 |      506 |         160
     226 |    507.8750 |     507 |         32 |      508 |         224
     227 |    510.1250 |     510 |        224 |      511 |          32
     228 |    512.3750 |     512 |        160 |      513 |          96
     229 |    514.6250 |     514 |         96 |      515 |         160
     230 |    516.8750 |     516 |         32 |      517 |         224
     231 |    519.1250 |     519 |        224 |      520 |          32
     232 |    521.3750 |     521 |        160 |      522 |          96
     233 |    523.6250 |     523 |         96 |      524 |         160
     234 |    525.8750 |     525 |         32 |      526 |         224
     235 |    528.1250 |     528 |        224 |      529 |          32
     236 |    530.3750 |     530 |        160 |      531 |          96
     237 |    532.6250 |     532 |         96 |      533 |         160
     238 |    534.8750 |     534 |         32 |      535 |         224
     239 |    537.1250 |     537 |        224 |      538 |          32
     240 |    539.3750 |     539 |        160 |      540 |          96
     241 |    541.6250 |     541 |         96 |      542 |         160
